City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,yellowknife,1,CA,1612722042,66,62.456,-114.3525,-40,5.75
1,wuxue,100,CN,1612722305,90,29.8506,115.5525,51.66,3.22
2,shamkhal,90,RU,1612722306,80,43.0596,47.3373,32,17.9
3,vaini,75,TO,1612722306,89,-21.2,-175.2,78.8,12.66
4,esperance,75,AU,1612722307,88,-33.8667,121.9,62.6,11.5
5,busselton,99,AU,1612722011,99,-33.65,115.3333,64,9.86
6,byron bay,75,AU,1612722308,78,-28.65,153.6167,75.2,10.36
7,ponta do sol,75,PT,1612722308,67,32.6667,-17.1,61,3
8,cape town,0,ZA,1612722079,60,-33.9258,18.4232,69.01,25.32
9,college,20,US,1612722309,83,64.8569,-147.8028,-14.01,2.95
10,mahebourg,75,MU,1612722091,74,-20.4081,57.7,80.6,6.91
11,faanui,2,PF,1612722309,76,-16.4833,-151.75,80.96,12.1
12,punta arenas,0,CL,1612722122,23,-53.15,-70.9167,69.8,12.66
13,luanda,75,AO,1612722245,78,-8.8368,13.2343,80.6,8.05
14,port elizabeth,75,ZA,1612722310,94,-33.918,25.5701,68,10.36
15,dembi dolo,65,ET,1612722310,29,8.5333,34.8,66.67,4.81
16,westport,90,US,1612722310,86,41.1415,-73.3579,30.99,12.66
17,rosarito,1,MX,1612722310,36,32.3333,-117.0333,64.4,5.19
18,mataura,98,NZ,1612722311,89,-46.1927,168.8643,50.13,1.7
19,waingapu,94,ID,1612722311,82,-9.6567,120.2641,78.13,5.82
20,sabha,93,LY,1612722194,15,27.0377,14.4283,74.79,15.57
21,arraial do cabo,75,BR,1612722311,83,-22.9661,-42.0278,77,5.75
22,dikson,59,RU,1612722312,84,73.5069,80.5464,-31.59,11.81
23,tuatapere,99,NZ,1612722312,71,-46.1333,167.6833,56.82,5.19
24,rikitea,96,PF,1612722313,72,-23.1203,-134.9692,77.38,12.06
25,sitka,1,US,1612722313,47,57.0531,-135.33,30.2,5.75
26,hobart,1,AU,1612722024,58,-42.8794,147.3294,53.6,5.75
27,saint george,1,US,1612722180,36,37.1041,-113.5841,50,3.44
28,conde,75,BR,1612722200,70,-7.2597,-34.9075,86,12.66
29,paracuru,50,BR,1612722314,77,-3.41,-39.0306,82,15.99
30,bambous virieux,75,MU,1612722236,74,-20.3428,57.7575,80.6,6.91
31,new castle,90,US,1612722314,58,41.0037,-80.347,26.01,10.36
32,bluff,100,NZ,1612722314,85,-46.6,168.3333,54.05,5.1
33,kasongo-lunda,59,CD,1612722315,75,-6.4667,16.8167,76.71,3.22
34,mareeba,100,AU,1612722315,100,-17,145.4333,80.01,2.46
35,bredasdorp,59,ZA,1612722315,60,-34.5322,20.0403,68,10.36
36,georgetown,20,MY,1612722315,83,5.4112,100.3354,84,3.6
37,makinsk,100,KZ,1612722316,95,52.6292,70.4169,12.02,18.03
38,iqaluit,75,CA,1612722031,68,63.7506,-68.5145,26.6,19.57
39,puerto ayora,0,EC,1612722316,70,-0.7393,-90.3518,84.2,17.27
40,tura,28,IN,1612722317,41,25.5198,90.2201,59.63,2.62
41,constitucion,67,CL,1612722317,66,-35.3333,-72.4167,67.26,8.39
42,ushuaia,40,AR,1612722305,47,-54.8,-68.3,59,12.66
43,castro,0,BR,1612722317,42,-24.7911,-50.0119,76.26,3.8
44,qaqortoq,98,GL,1612722317,30,60.7167,-46.0333,37.4,47.18
45,mao,40,ES,1612722318,93,39.8885,4.2658,48.2,5.75
46,ostrovnoy,100,RU,1612722318,88,68.0531,39.5131,6.37,1.59
47,jamestown,90,US,1612722051,73,42.097,-79.2353,19.99,17.27
48,avarua,20,CK,1612722319,83,-21.2078,-159.775,80.6,5.75
49,kondopoga,100,RU,1612722319,92,62.2057,34.2614,8.6,6.71
50,methoni,75,GR,1612722319,82,36.8197,21.7049,63,13.67
51,pevek,0,RU,1612722319,86,69.7008,170.3133,-6.29,1.86
52,nelson bay,48,AU,1612722319,83,-32.7167,152.15,69.01,11.5
53,mayumba,87,GA,1612722320,85,-3.432,10.6554,79.63,7.78
54,tasiilaq,0,GL,1612722320,58,65.6145,-37.6368,19.4,2.3
55,leningradskiy,5,RU,1612722320,79,69.3833,178.4167,-13.77,5.41
56,bartica,75,GY,1612722321,88,6.4,-58.6167,77,13.8
